Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
2012.09.10,10-Sep-2012,2012,TONGA,Vava'u,Eueiki Island,Injuries to thighs & buttocks,N,9,South,Spring,2050
2012.10.27,27-Oct-2012,2012,USA,Hawaii,"Makena Landing, Maui","Puncture wounds to thigh, defense wounds  to hand",N,10,North,Autumn,2050
2012.07.07.a,07-Jul-2012,2012,SPAIN,California,"Pleasure Point, Santa Cruz County","No injury, kayak bitten",N,7,North,Summer,2050
2012.06.28.R,Reported 28-Jun-2012,2012,CROATIA,Not applicable,Buccari Bay,"Leg struck. Initally reported as a shark attack, but involved a swordfish",,6,North,Summer,2050
2012.06.26.c,26-Jun-2012,2012,USA,Florida,"Juno Beach, Palm Beach County",Thigh bitten,N,6,North,Summer,2050
2012.03.24,24-Mar-2012,2012,USA,Florida,"New Smyrna Beach, Volusia County",Minor lacerations to foot,N,3,North,Spring,2050
2012.03.22,22-Mar-2012,2012,AUSTRALIA,Western Australia,Kalbarri,"No injury to occupants. Shark bit propelle, rope & crayfish float",N,3,South,Autumn,2050
2012.03.20,20-Mar-2012,2012,AUSTRALIA,Queensland,Nobby's Beach,Lacerations to left calf,N,3,South,Autumn,2050
2012.03.15,15-Mar-2012,2012,USA,Florida,"Jensen Beach, Martin County ",Left forearm bitten,N,3,North,Spring,2050
2012.03.14.b,14-Mar-2012,2012,USA,Florida,"New Smyrna Beach, Volusia County",Bitten on ankle,N,3,North,Spring,2050
2012.03.14.a,14-Mar-2012,2012,USA,Florida,"New Smyrna Beach, Volusia County",Bitten on calf,N,3,North,Spring,2050
2012.03.06.b,06-Mar-2012,2012,NEW ZEALAND,North Island,"Opunake, Taranake",Lacerations to left calf,N,3,South,Autumn,2050
2012.03.06.a,06-Mar-2012,2012,AUSTRALIA,Victoria,"Shipwreck Cove, Melbourne Aquarium",Superficial lacerations to right side of face PROVOKED ACCIDENT,N,3,South,Autumn,2050
2012.03.05,05-Mar-2012,2012,REUNION,Saint-Benoit,Port de la Marine,"No injury, board bitten",N,3,South,Autumn,2050
2012.03.04,04-Mar-2012,2012,USA,Florida,"Playalinda Beach, Brevard County",Lacerations to left calf,N,3,North,Spring,2050
2012.03.03,03-Mar-2012,2012,SAUDI ARABIA,Tabuk Province,Off Duba,Harassed by sharks but not injured by them,,3,North,Spring,2050
2012.02.26,26-Feb-2012,2012,USA,Florida,"Palm Beach Inlet, Palm Beach County",Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,2,North,Winter,2050
2012.02.25,25-Feb-2012,2012,AUSTRALIA,New South Wales,Broughton Island,Laceration to left foot,N,2,South,Summer,2050
2012.02.20,20-Feb-2012,2012,SOUTH AFRICA,Western Cape Province,Strandfontein,"No injury to occupants, boat damaged",N,2,South,Summer,2050
2012.02.06,06-Feb-2012,2012,AUSTRALIA,Queensland,Wurtulla,"No injury, but fin lost from surfboard",N,2,South,Summer,2050
2012.01.27,27-Jan-2012,2012,USA,Hawaii,Lanai,"No injury, shark bit swim fin",N,1,North,Winter,2050
2012.01.19,19-Jan-2012,2012,AUSTRALIA,Western Australia,Coral Bay,Lacerations to right forearm,N,1,South,Summer,2050
2012.01.22.R,Reported 22-Jan-2012,2012,THE BAHAMAS,Not applicable,Cat Island,"No injury, shark grabbed his camera",N,1,North,Winter,2050
2012.01.18.b,18-Jan-2012,2012,TAIWAN,Taitung ,Taimali,Bitten on left thigh     PROVOKED ACCIDENT,N,1,North,Winter,2050
2012.01.18.a,18-Jan-2012,2012,AUSTRALIA,New South Wales,Redhead Beach,Lacerations to thigh,N,1,South,Summer,2050
2012.01.15,15-Jan-2012,2012,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. Johns",FATAL,Y,1,South,Summer,2050
2012.01.13,13-Jan-2012,2012,USA,Oregon,"Lincoln City, Lincoln County","No injury, surfboard damaged",N,1,North,Winter,2050
2012.01.03,03-Jan-2012,2012,AUSTRALIA,New South Wales,North Avoca Beach,Right forearm and wrist injured,N,1,South,Summer,2050
2012.01.02,02-Jan-2012,2012,AUSTRALIA,Queensland,Duranbah,"No injury, punctures to swim fin",N,1,South,Summer,2050
2012.07.06,06-Jul-2012,2012,SOUTH AFRICA,Western Cape Province,"Sandstrand, Jongensfontein",Lacerattions to left thigh & knee,N,7,South,Winter,2050
2012.03.31,31-Mar-2012,2012,AUSTRALIA,Western Australia,Stratham Beach,FATAL,Y,3,South,Autumn,2050
2012.04.03,03-Apr-2012,2012,USA,Hawaii,"Leftovers near Chun's Reef, Oahu",Lacerations to left foot,N,4,North,Spring,2050
2012.03.01,01-Mar-2012,2012,CHILE,Antofagasta Province,Antofagasta,Hand injured PROVOKED INCIDENT,N,3,South,Autumn,2050
2012.04.19.a,19-Apr-2012,2012,SOUTH AFRICA,Western Cape Province,Caves near Kogel Bay,FATAL,Y,4,South,Autumn,2050
2012.06.26.b,26-Jun-2012,2012,USA,Florida,"New Smyrna Beach, Volusia County",Nip to left foot,N,6,North,Summer,2050
2012.04.11,11-Apr-2012,2012,AUSTRALIA,South Australia,"Dolphin Bay, Innes National Park",Minor wound to his thigh when shark bit kayak,N,4,South,Autumn,2050
2012.06.26.a,26-Jun-2012,2012,USA,Hawaii,"Kahana Beach, Maui",Laceration to left calf,N,6,North,Summer,2050
2012.06.22.b,22-Jun-2012,2012,AUSTRALIA,Tasmania,South Cape Bay,"Knocked off board, shark bit nose off surfboard",N,6,South,Winter,2050
2012.06.22.a,22-Jun-2012,2012,USA,Florida,"Bathtub Reef  Beach, Stuart, Martin County",Minor injury,N,6,North,Summer,2050
2012.06.20,20-Jun-2012,2012,AUSTRALIA,Western Australia,"Mullaloo Beach, Perth","No injury, ski severely damaged",N,6,South,Winter,2050
2012.06.19,19-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County","Laceration to foot. Injured by a stingray, not a shark",,6,North,Summer,2050
2012.06.18,18-Jun-2012,2012,USA,North Carolina,"Ocean Isle, Brunswick County",Numerous puncture wounds to leg ,N,6,North,Summer,2050
2012.06.14.d,14-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County",Foot & hand bitten,N,6,North,Summer,2050
2012.06.14.c,14-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County",Minor injury,N,6,North,Summer,2050
2012.06.14.b,14-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County",Calf bitten,N,6,North,Summer,2050
2012.06.14.a,14-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County",Laceration to right foot,N,6,North,Summer,2050
2012.06.12,12-Jun-2012,2012,AUSTRALIA,Victoria,Port Campbell,Laceration to right foot,N,6,South,Winter,2050
2012.06.15,15-Jun-2012,2012,USA,Florida,"Summerland Key, Monroe County",Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,6,North,Summer,2050
2012.05.16,16-May-2012,2012,FIJI,Not applicable,Matacucu Reef ,Lacerations to head,N,5,South,Autumn,2050
2012.06.03,03-Jun-2012,2012,AUSTRALIA,New South Wales,"Redhead Beach, Newcastle","No injury, ski bitten",N,6,South,Winter,2050
2012.06.02.b,02-Jun-2012,2012,USA,Florida,"Bethune Beach, Volusia County",Laceration to thigh,N,6,North,Summer,2050
2012.06.02.a,02-Jun-2012,2012,USA,South Carolina,"Myrtle Beach, Horry County",Severe laceration to foot,N,6,North,Summer,2050
2012.05.31,31-May-2012,2012,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Foot bitten,N,5,North,Spring,2050
2012.05.29,29-May-2012,2012,MEXICO,Guerrero," Boca de la Leña, La Unión",Left hand severed,N,5,North,Spring,2050
2012.05.23,23-May-2012,2012,USA,Florida,"Jacksonville, Duval County",Lacerations to foot,N,5,North,Spring,2050
2012.05.20,20-May-2012,2012,USA,Hawaii,"Iroquiois Point, Oahu","No injury, teethmarks in kayak",N,5,North,Spring,2050
2012.05.12,12-May-2012,2012,USA,California,"Leffingwell Landing, Cambria,  San Luis Obispo County","No injury, kayaker fell in the water when kayak bitten by a shark",N,5,North,Spring,2050
2012.05.09,09-May-2012,2012,USA,Florida,"Vero Beach, Indian River County",Upper left thigh bitten,N,5,North,Spring,2050
2012.06.10,10-Jun-2012,2012,ITALY,Sardinia,Muravera,Lower left leg injured PROVOKED ACCIDENT,2017,6,North,Summer,2050
2012.05.06,06-May-2012,2012,USA,California,Off Catalina Island,"No injury, shark bit paddleboard",N,5,North,Spring,2050
2012.04.19.b,19-Apr-2012,2012,USA,Florida,"Indialantic, Brevard County",Lacerations to hand,N,4,North,Spring,2050
2013.09.01.a, 01-Sep-2013,2013,USA,Florida,"St Augustine Beach, St Johns County",Lacerations to left calf,N,9,North,Autumn,2050
2013.08.31.b,31-Aug-2013,2013,THE BAHAMAS,Not applicable,Freetown Beach,Lower left leg bitten,N,8,North,Summer,2050
2013.09.12, 12-Sep-2013,2013,USA,Florida,"New Smyrna Beach,  Volusia County",Heel bitten,N,9,North,Autumn,2050
2013.08.31.a,31-Aug-2013,2013,USA,California,"Butterfly Beach, Montecito, Santa Barbara County",Foot bitten,N,8,North,Summer,2050
2013.09.01.b, 01-Sep-2013,2013,THE BAHAMAS,Not applicable,Not applicable,Leg injured,N,9,North,Autumn,2050
2013.09.01.c, 01-Sep-2013,2013,USA,Florida,Key West Aquarium,Arm bitten by captive shark PROVOKED INCIDENT,N,9,North,Autumn,2050
2013.09.08,08-Sep-2013,2013,USA,South Carolina,"St. Helena Island, Beaufort County",No details,UNKNOWN,9,North,Autumn,2050
2013.09.07.a, 07-Sep-2013,2013,USA,Florida,"New Smyrna Beach,  Volusia County","Minor injury, shin bitten",N,9,North,Autumn,2050
2013.09.07.b, 07-Sep-2013,2013,USA,Florida,"New Smyrna Beach,  Volusia County",Foot bitten when he accidentally jumped onto the shark PROVOKED INCIDENT,N,9,North,Autumn,2050
2013.07.28.b,28-Jul-2013,2013,THE BAHAMAS,Exuma Islands,Compass Cay,Bitten on left hand,N,7,North,Summer,2050
2013.08.29,29-Aug-2013,2013,USA,California,Catalina Channel,"Puncture wound to torso. Reported as a bite by a leopard shark, the tooth fragment appears to be that of a bony fish",,8,North,Summer,2050
2013.09.02, 02-Sep-2013,2013,USA,Florida,"Ormond Beach, Volusia County",Shoulder bitten,N,9,North,Autumn,2050
2013.08.26,26-Aug-2013,2013,FRANCE,Bay of Biscay,Not applicable,Laceration to right arm from hooked shark  PROVOKED INCIDENT,N,8,North,Summer,2050
2013.07.29.b,  29-Jul-2013,2013,MEXICO,Quintana Roo,Not applicable,Hip bitten,N,7,North,Summer,2050
2013.08.25, 25-Aug-2013,2013,AUSTRALIA,New South Wales,Smiths,Lacerations to left forearm,N,8,South,Winter,2050
2013.08.18, 18-Aug-2013,2013,USA,Hawaii,Pohoiki ,Lacerations to buttocks & thigh,N,8,North,Summer,2050
2013.08.17,17-Aug-2013,2013,USA,California,"Pillar Point, Half-Moon Bay, San Mateo County","No injury, shark bumped surfboard",N,8,North,Summer,2050
2013.08.14, 14-Aug-2013,2013,USA,Hawaii,"Makenat, Maui",FATAL,Y,8,North,Summer,2050
2013.08.13, 13-Aug-2013,2013,USA,Hawaii,"Ka'a Point, Maui",No injury & not on board. Board adrift when bitten by shark,N,8,North,Summer,2050
2013.08.11,11-Aug-2013,2013,USA,South Carolina,Folly Beach,"No injury, shark became entangled in his surfboard leash",N,8,North,Summer,2050
2013.08.08.R,Reported 08-Aug-2013,2013,SOUTH AFRICA,Not applicable,Not applicable,"Unknown, but survived",N,8,South,Winter,2050
2013.08.05, 05-Aug-2013,2013,USA,Florida,"Sanibel Island, Lee County",Minor injury to foot & shin,N,8,North,Summer,2050
2013.07.31,  31-Jul-2013,2013,USA,Hawaii,"Ulua Beach, Maui","Lacerations to hand, face and torso",N,7,North,Summer,2050
2013.07.30,  30-Jul-2013,2013,USA,South Carolina,"Isle of Palms, Charleston County",Foot bitten,N,7,North,Summer,2050
2013.07.29.c,28-Jul-2013,2013,THE BAHAMAS,Abaco Islands,Scotland Cay,Leg bitten,N,7,North,Summer,2050
2013.07.29.a,  29-Jul-2013,2013,USA,Hawaii,"White Plains Beach, Oahu",Lower leg bitten,N,7,North,Summer,2050
2013.09.14, 14-Sep-2013,2013,USA,Florida,"Casino Beach, Pensacola, Escambia County",Lacerations to right foot,N,9,North,Autumn,2050
2013.08.25.b, 25-Aug-2013,2013,USA,Florida,"Winterhaven Park,           Ponce Inlet, Volusia County",Minor injury to left lower leg & heel,N,8,North,Summer,2050
2013.09.21.a, 21-Sep-2013,2013,USA,Florida,"Carlin Park, Jupiter, Palm Beach County",Lacerations to left foream,N,9,North,Autumn,2050
2013.12.13,13-Dec-2013,2013,KIRIBATI,740 miles SE of Tarawa Atoll,Not applicable,Severe injury to arm,N,12,North,Winter,2050
2013.09.25, 25-Sep-2013,2013,USA,Florida,"Panama City, Bay County",Laceration and puncture wounds to ankle,N,9,North,Autumn,2050
2013.12.25,25-Dec-2013,2013,NEW CALEDONIA,North Province,"Lindéralique, Hienghène",Leg bitten,N,12,South,Summer,2050
2013.12.16,16-Dec-2013,2013,SOUTH AFRICA,Western Cape Province,Die Platt,Injuries to left thigh,N,12,South,Summer,2050
2013.12.11,11-Dec-2013,2013,USA,Hawaii,"Ninole Bay, Hawaii County",Lacerations to right hand & knee,N,12,North,Winter,2050
2013.12.10,10-Dec-2013,2013,USA,Florida,"Cocoa Beach, Brevard  County",Right foot bitten,N,12,North,Winter,2050
2013.12.05,05-Dec-2013,2013,AUSTRALIA,New South Wales,"Shelly Beach, near Port Macquarie","Puncture wounds to hand, laceration to leg",N,12,South,Summer,2050
2013.12.02,02-Dec-2013,2013,USA,Hawaii,"Between  Makena & Molokini, Maui",FATAL,Y,12,North,Winter,2050
2013.11.30,30-Nov-2013,2013,AUSTRALIA,New South Wales,"Riecks Point,  Campbells Beach, ",FATAL,Y,11,South,Spring,2050
2013.11.23.a,23-Nov-2013,2013,AUSTRALIA,Western Australia,Gracetown,FATAL,Y,11,South,Spring,2050
2013.11.22,22-Nov-2013,2013,USA,Oregon,"Gleneden Beach, Lincoln County","No injury, board bitten",N,11,North,Autumn,2050
2013.11.12,12-Nov-2013,2013,AUSTRALIA,Western Australia,"Trigg Beach, Perth","No injury, board bumped by shark",N,11,South,Spring,2050
2013.11.10,10-Nov-2013,2013,THE BAHAMAS,Not applicable,Off Cape Eleuthera,Injuries to arm & leg by hooked shark   PROVOKED INCIDENT,N,11,North,Autumn,2050
2013.11.07.b,07-Nov-2013,2013,USA,New Jersey,"Bay Head, Ocean County","No injury, swim fin bitten",N,11,North,Autumn,2050
2013.11.07.a,07-Nov-2013,2013,USA,Florida,"Floridana Beach, Brevard County",Foot bitten,N,11,North,Autumn,2050
2013.10.31,31-Oct-2013,2013,USA,Hawaii,"Kanaha Beach, Maui",Severe bite to right calf & anklel,N,10,North,Autumn,2050
2013.10.28,28-Oct-2013,2013,AUSTRALIA,Western Australia,Turquoise Bay,Lacerations to right arm,N,10,South,Spring,2050
2013.10.26.b,26-Oct-2013,2013,REUNION,dÉtang-Salé,Ravine Mula,Right leg severed,N,10,South,Spring,2050
2013.10.26.a,26-Oct-2013,2013,AUSTRALIA,Western Australia,"Little Island, near Hillarys","No injury, swim fin shredded",N,10,South,Spring,2050
2013.10.24,24-Oct-2013,2013,AUSTRALIA,New South Wales,South Narrabeen Beach,Injuries to right foot,N,10,South,Spring,2050
2013.10.23,23-Oct-2013,2013,USA,Hawaii,"Waiehu, Maui","3"" laceration to left hip",N,10,North,Autumn,2050
2013.10.20,20-Oct-2013,2013,USA,Hawaii,"Pila'a Beach, Kaua'i","No injury, shark bit surfboard",N,10,North,Autumn,2050
2013.10.19,19-Oct-2013,2013,USA,Florida,Miami Beach,Bitten on left calf & foot,N,10,North,Autumn,2050
2013.10.11,11-Oct-2013,2013,SOUTH AFRICA,Eastern Cape Province,"Albatros Point, near Jeffrey's Bay",FATAL,Y,10,South,Spring,2050
2013.10.08,08-Oct-2013,2013,AUSTRALIA,Western Australia,"Off Poison Creek, Cape Arid","Injuries to torso, head and face",N,10,South,Spring,2050
2013.10.05,06-Oct-2013,2013,USA,California,"Bunkers, Humboldt Bay, Eureka, Humboldt County",Laceration to thigh,N,10,North,Autumn,2050
2013.10.05,10-Oct-2013,2013,USA,Florida,"Destin, Okaloosa County",Lacerations to  right forearm,N,10,North,Autumn,2050
2013.09.29.b,29-Sep-2013,2013,USA,Florida,"Melbourne Beach, Brevard County",Lacerations to hand,N,9,North,Autumn,2050
2013.09.29.a,29-Sep-2013,2013,ISRAEL,Southern District,Ashdod,Hand bitten ,N,9,North,Autumn,2050
2013.09.21.b, 21-Sep-2013,2013,USA,Florida,"Ormond Beach, Volusia County",Lacerations to right foot,N,9,North,Autumn,2050
2013.07.28.a,28-Jul-2013,2013,THE BAHAMAS,Abaco Islands,Grand Cay,Bitten on rear lower extremities,N,7,North,Summer,2050
2013.05.08.a,08-May-2013,2013,REUNION,Saint-Gilles,Brisant Beach,FATAL,Y,5,South,Autumn,2050
2013.07.19,19-Jul-2013,2013,USA,Alabama,"Gulf Shores, Baldwin County",Lacerations and abrasions to foot and ankle,N,7,North,Summer,2050
2013.04.13.a,13-Apr-2013,2013,GUAM,Not applicable,Not applicable,FATAL,Y,4,North,Spring,2050
2013.04.10,10-Apr-2013,2013,FRENCH POLYNESIA,Tuamotus,"North Pass, Fakarava","Underside of board, fins and, harness were damaged, and left  hip, thigh and buttock sustained puncture wounds",N,4,South,Autumn,2050
2013.04.04,04-Apr-2013,2013,USA,Florida,"Jensen Beach, Martin County ",Lacerations to hand,N,4,North,Spring,2050
2013.04.02.R,Reported 02-Apr-2013,2013,AUSTRALIA,Western Australia,Perth,Disappeared. No evidence that he was taken by a shark,,4,South,Autumn,2050
2013.04.02.a,02-Apr-2013,2013,USA,Hawaii,Kaanapali Shores,Right thigh bitten,N,4,North,Spring,2050
2013.03.31,31-Mar-2013,2013,AUSTRALIA,New South Wales,Terrigal Beach,Never happened; it was a  hoax,,3,South,Autumn,2050
2013.03.29,29-Mar-2013,2013,SEYCHELLES,Not applicable,Ile Platte,Lacerations to left foot,N,3,South,Autumn,2050
2013.03.21.R,Reported 21-Mar-2013,2013,BELIZE,Not applicable,Not applicable,Toe injured,N,3,North,Spring,2050
2013.03.21,21-Mar-2013,2013,THE BAHAMAS,Eleuthera,Savannah Sound,Left foot bitten,N,3,North,Spring,2050
2013.03.16.b,16-Mar-2013,2013,SOUTH AFRICA,Western Cape Province,De Mond,Lacerations to left calf and heel from hooked shark PROVOKED INCIDENT,N,3,South,Autumn,2050
2013.03.16.a,16-Mar-2013,2013,SOUTH AFRICA,Western Cape Province,Hawston Beach,"No injury, surfboard bitten",N,3,South,Autumn,2050
2013.03.12,12-Mar-2013,2013,JAMAICA,St. Catherine,Pillikin Red Light area ,FATAL,Y,3,North,Spring,2050
2013.03.10.b,10-Mar-2013,2013,AUSTRALIA,Western Australia,African Reef off Geraldton,Laceration to left hand,N,3,South,Autumn,2050
2013.03.10.a,10-Mar-2013,2013,PHILIPPINES,Palawan,Off Likas Island,Minor leg injuries,N,3,North,Spring,2050
2013.03.03,03-Mar-2013,2013,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Injuries to arms & hands,N,3,South,Autumn,2050
2013.02.27,27-Feb-2013,2013,NEW ZEALAND,North Island,Muriwai,FATAL,Y,2,South,Summer,2050
2013.02.21.b,21-Feb-2013,2013,USA,Hawaii,"Ka'anapali, Honokowai, Maui",Lacerations to right leg,N,2,North,Winter,2050
2013.02.21.a,21-Feb-2013,2013,USA,Hawaii,"Paia Bay, Maui","No injury, shark bit rail of foam board",N,2,North,Winter,2050
2013.02.10,10-Feb-2013,2013,USA,Florida,"""Stuart Rocks"", Martin County",Lacerations to right hand,N,2,North,Winter,2050
2013.02.09,09-Feb-2013,2013,FRENCH POLYNESIA,Society Islands,"Tapu, a dive site on the outer reefs of Bora Bora",Lacerations to right arm & thigh,N,2,South,Summer,2050
2013.02.01,01-Feb-2013,2013,JAMAICA,Kingston Parish,Pedro Cays,Knee bitten,N,2,North,Winter,2050
2013.01.26,26-Jan-2013,2013,AUSTRALIA,Victoria,Cape Nelson,"No injury to occupants, shark bit propeller",N,1,South,Summer,2050
2013.01.25,25-Jan-2013,2013,AUSTRALIA,Queensland,Noosa,Lacerations to neck,N,1,South,Summer,2050
2013.01.21.R,Reported 21-Jan-2013,2013,AUSTRALIA,Queensland,Bullcock Beach,"No injury, a 3 m blue shark merely snapped at the man.",,1,South,Summer,2050
2013.01.16,16-Jan-2013,2013,USA,Hawaii,Kiholo Bay,Left forearm bitten ,N,1,North,Winter,2050
2013.01.13,13-Jan-2013,2013,NEW ZEALAND,Mercury Islands,Great Mercury Island,Minor cut on finger,N,1,South,Summer,2050
2013.01.05,05-Jan-2013,2013,AUSTRALIA,Western Australia,Near Legendre Island,Calf & shin bitten ,N,1,South,Summer,2050
2013.04.13.b,13-Apr-2013,2013,USA,Florida,"New Smyrna Beach, Volusia County",Minor lacerations to right hand,N,4,North,Spring,2050
2013.04.14,14-Apr-2013,2013,SOUTH AFRICA,Western Cape Province,False Bay,"""Light scratch on hand/wrist area""",N,4,South,Autumn,2050
2013.07.22,    22-Jul-2013,2013,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",FATAL,Y,7,South,Winter,2050
2013.04.21,21-Apr-2013,2013,AUSTRALIA,New South Wales,Crowdy Head,Puncture wounds and lacerations to both legs,N,4,South,Autumn,2050
2013.04.17,17-Apr-2013,2013,USA,Florida,"Near Boynton Beach, Palm Beach County",Lacerations to right foot,N,4,North,Spring,2050
2013.07.17.R,Reported 17-Jul-2013,2013,USA,Florida,"Butler Beach, St Augustine,       St. Johns County",4 cuts to posterior calf,N,7,North,Summer,2050
2013.07.15,15-Jul-2013,2013,REUNION,Saint-Paul,Le cimetière marin,FATAL,Y,7,South,Winter,2050
2013.07.14,14-Jul-2013,2013,MALDIVES,Not applicable,Not applicable,FATAL,Y,7,North,Summer,2050
2013.07.11,11-Jul-2013,2013,USA,North Carolina,Holden Beach. Brunswick County,Right foot bitten,N,7,North,Summer,2050
2013.07.09,07-Jul-2013,2013,SPAIN,Catalonia,"Sant Marti dEmpuries Beach, LEscala","Scrape to right forearm. Frennet says inflicted by a blue shark, but authorities question shark involvement",,7,North,Summer,2050
2013.07.02,02-Jul-2013,2013,AUSTRALIA,Victoria,"Flinders, Mornington Penisula","No injury, holes in wetsuit ",N,7,South,Winter,2050
2013.06.30,30-Jun-2013,2013,TAIWAN,Taitung ,Not applicable,Right thigh bitten,N,6,North,Summer,2050
2013.06.25.c,25-Jun-2013,2013,USA,California,"Pacific State , San Mateo County","No injury, kayak scratched",N,6,North,Summer,2050
2013.06.25.b,25-Jun-2013,2013,USA,Florida,"Jacksonville, Duval County",Lacerations to left foot,N,6,North,Summer,2050
2013.06.25.a,25-Jun-2013,2013,USA,South Carolina,"Kiawah Island, Charleston County","Bitten on lower right leg, reported as a minor injury",N,6,North,Summer,2050
2013.06.18,18-Jun-2013,2013,USA,Hawaii,Kona Coast State Park,Right thigh & calf bitten,N,6,North,Summer,2050
2013.06.17,17-Jun-2013,2013,USA,Texas,"Surfside Beach, Brazoria County",Left leg & hand bitten,N,6,North,Summer,2050
2013.06.27,27-Jun-2013,2013,JAMAICA,Kingston Parish,Port Royal,Probable drowning with post-mortem bites,,6,North,Summer,2050
2013.06.15,15-Jun-2013,2013,USA,Florida,"Atlantic Beach, Duval County",Lacerations to left ankle,N,6,North,Summer,2050
2013.06.16,16-Jun-2013,2013,SOUTH AFRICA,Eastern Cape Province,Queensberry Bay,Lacerations to knee,N,6,South,Winter,2050
2013.04.28,28-Apr-2013,2013,AUSTRALIA,New South Wales,Emerald Beach,Foot bitten by landed shark PROVOKED INCIDENT,N,4,South,Autumn,2050
2013.05.04.a,04-May-2013,2013,USA,Florida,"Melbourne Beach, Brevard County",Lacerations to left foot and ankle,N,5,North,Spring,2050
2013.05.08.b,08-May-2013,2013,USA,California,"Tourmaline Surf Park, San Diego County",Shark bites were post-mortem,,5,North,Spring,2050
2013.05.23.a,23-May-2013,2013,ISRAEL,Not applicable,Gaza,Two fingers lost PROVOKED INCIDENT,N,5,North,Spring,2050
2013.05.23.b,23-May-2013,2013,BRAZIL,Pernambuco,Coral Cove Beach,FATAL,Y,5,South,Autumn,2050
2013.05.14,14-May-2014,2013,ECUADOR,Santa Cruz Island,"Playa Brava, Turtle Bay",Superficial injury to left calf,N,5,South,Autumn,2050
2013.04.24,24-Apr-2013,2013,MEXICO,Quintana Roo,"Seagull Beach, Cancun",Avulsion injury  to lower right leg,N,4,North,Spring,2050
2013.05.27.b,27-May-2013,2013,USA,Hawaii,"Halewia, Oahu",Lacerations to right hand,N,5,North,Spring,2050
2013.06.06.a,06-Jun-2013,2013,AUSTRALIA,New South Wales,Target Beach,"No injury, board damaged",N,6,South,Winter,2050
2013.06.06.b,06-Jun-2013,2013,USA,Florida,"Off Snipe Point, Florida Keys, Monroe County",Left hand bitten as he attempted to remove hook from shark PROVOKED INCIDENT,N,6,North,Summer,2050
2013.06.14.R,Reported 14-Jun-2013,2013,USA,South Carolina,"Myrtle Beach, Horry County",Puncture marks to hand,N,6,North,Summer,2050
2013.05.27.a,27-May-2013,2013,USA,Florida,"Ormond Beach, Volusia County",Right foot bitten,N,5,North,Spring,2050
2014.09.06,06-Sep-2014,2014,USA,Alabama,"Katrina Cut, Dauphin Island, Mobile County",Leg bitten,N,9,North,Autumn,2050
2014.08.31,31-Aug-2014,2014,USA,Florida,"New Smyrna Beach, Volusia County",Injury to left calf,N,8,North,Summer,2050
2014.09.02,02-Sep-2014,2014,USA,Florida,"Fletcher Beach, Hutchinson Island, Martin County",Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,9,North,Autumn,2050
2014.09.03,03-Sep-2014,2014,USA,Massachusetts,"Manomet Point, Plymouth, Plymouth County","No injury, shark bit kayak",N,9,North,Autumn,2050
2014.09.09,09-Sep-2014,2014,AUSTRALIA,New South Wales,"Clarkes Beach, Byron Bay",FATAL,Y,9,South,Spring,2050
2014.10.03.a,03-Oct-2014,2014,USA,California,Santa Barbara County,"No injury to occupant, shark/s holded  kayak",N,10,North,Autumn,2050
2014.09.13.R,Reported 12-Sep-2014,2014,FRENCH POLYNESIA,Moorea,Tiahura Lagoon,Thumb & finger nipped,N,9,South,Spring,2050
2014.09.21,21-Sep-2014,2014,USA,Florida,"New Smyrna Beach, Volusia County",Minor injury to left foot,N,9,North,Autumn,2050
2014.10.02.a,02-Oct-2014,2014,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance","Left arm & right hand severed, lacerations to both legs",N,10,South,Spring,2050
2014.10.02.b,02-Oct-2014,2014,USA,California,"Walls Beach, Vandenberg AFB, Santa Barbara County",Lacerations to knee,N,10,North,Autumn,2050
2014.08.29.b,29-Aug-2014,2014,USA,Florida,"Ponce Inlet, Volusia County",Lacerations to shin,N,8,North,Summer,2050
2014.09.13,13-Sep-2014,2014,SPAIN,California,"Manresa State Beach, Santa Cruz County","A hoax, no shark involvement",,9,North,Autumn,2050
2014.08.29.a,29-Aug-2014,2014,USA,Florida,"Atlantic Beach, Duval County",Shark involvement not confirmed,,8,North,Summer,2050
2014.08.02,02-Aug-2014,2014,USA,Florida,"South of Cocoa Beach, Brevard County",Foot bitten,N,8,North,Summer,2050
2014.08.27.c,27-Aug-2014,2014,SPAIN,Alicante,Benidorm,Minor lacerations to posterior lower leg,N,8,North,Summer,2050
2014.08.27.b,27-Aug-2014,2014,USA,North Carolina,"Figure Eight Island,  New Hanover County",Laceration to left hand,N,8,North,Summer,2050
